entity,description,is_india
The Motilal Oswal S&P 500® Index Fund,An Indian mutual fund tracking the S&P 500 index,1
FPI,Foreign Portfolio Investment relevant to India’s financial markets,1
New Space India Ltd.,An Indian public sector company focused on space technology,1
Takeover,A general term for acquisition relevant to Indian companies,1
TCS’s,Refers to Tata Consultancy Services an Indian IT giant,1
IEA,International Energy Agency not specific to India,0
IL&FS Securities Services Ltd,An Indian financial services company,1
Board of Directors,Refers to governance in Indian companies,1
IEX,Indian Energy Exchange an energy market in India,1
Nasdaq,An American stock exchange with some Indian listings,0
ICAI,The Institute of Chartered Accountants of India,1
Ryanair,A European low-cost airline with no Indian connection,0
USFDA,United States Food and Drug Administration with regulatory relevance to India,0
IKEA India’s,Refers to the Indian operations of Swedish furniture retailer IKEA,1
Honda,A Japanese automotive company with significant operations in India,0
Salesforce,An American cloud-based software company with Indian presence,0
PMC Bank,An Indian cooperative bank,1
ConceptsiPhone,Refers to iPhone concepts not specific to India,0
LT,Larsen & Toubro an Indian multinational,1
REITs,Real Estate Investment Trusts with growing relevance in India,1
Telsey,Telsey Advisory Group an American research firm not specific to India,0
Hindalco,An Indian aluminum and copper manufacturing company,1
JioMart,An Indian e-commerce venture by Reliance Industries,1
Horlicks,A nutritional drink with significant sales in India,1
Intel Capital,The investment arm of Intel with investments in Indian startups,0
Parliament,Refers to the Parliament of India,1
Hem Securities,An Indian financial services firm,1
Nippon Life India Asset Management,An Indian asset management company,1
Implementing the vision of Aatmanirbhar Bharat,A campaign for self-reliant India,1
RTGS,Real Time Gross Settlement a financial system in India,1
LTC,Leave Travel Concession a tax benefit in India,1
Luxoft,A multinational software development company with Indian operations,0
Project Charge,A corporate project not specific to India,0
SWP,Systematic Withdrawal Plan a financial tool used in India,1
CRISIL Research,An Indian ratings and research agency,1
Grade-A,Refers to top-tier real estate in India,1
Bank of Baroda,An Indian multinational bank,1
CIO,Chief Information Officer not specific to India,0
Jios,Refers to Reliance Jio which is an Indian telecom company,1
Targeted Long Term Repo Operations,An Indian monetary policy tool,1
Adidas,A global sportswear brand with presence in India,0
CDSL Commodity Repository Limited,An Indian commodity depository,1
Lloyd,An Indian consumer electronics brand,1
NAFTA,North American Free Trade Agreement not specific to India,0
GMS,General Motors Services not specific to India,0
Fed.,Refers to the Federal Reserve not specific to India,0
Sonalika Tractor,An Indian tractor manufacturer,1
FBB,An Indian fashion retail brand,1
Inox Leisure,An Indian cinema chain,1
Jayaswal Neco Industries,An Indian steel manufacturer,1
Graphite,Refers to the industrial material with relevance in India,1
Ola,An Indian ride-hailing company,1
Hero MotoCorp,An Indian motorcycle manufacturer,1
Chimp&Z Inc,A global marketing agency with operations in India,0
Linksure Network,A network security company with global presence including India,0
MET,May refer to Metropolitan areas not specific to India,0
Bosch,A German multinational engineering and technology company with operations in India,0
IBA,Indian Banks’ Association,1
SBM Bank India,An Indian commercial bank,1
VRS,Voluntary Retirement Scheme relevant to Indian employment practices,1
Xennials,Refers to a demographic cohort not specific to India,0
Arcelormittal,A global steel company with operations in India,0
Mondays,A term or company not specific to India,0
MHA,Ministry of Home Affairs in India,1
SAARC,South Asian Association for Regional Cooperation including India,1
International Travel,Refers to global travel including India,0
QoQ,Quarter on Quarter an economic term used in India,1
Universiti Teknologi Mara,A Malaysian university with no direct Indian connection,0
ESIC,Employees' State Insurance Corporation in India,1
SBI Capital Markets Limited,An Indian investment bank,1
MTPA,Million Tonnes Per Annum a measure used in India,1
Zeta,An Indian fintech company,1
Multiventures,Refers to multiple ventures not specific to India,0
CMS,Refers to various content management systems,0
Mumbai Police,The police force of Mumbai India,1
CPI,Consumer Price Index used in India,1
Biocon,An Indian biopharmaceutical company,1
ISIS,The terrorist organization with no specific Indian ties,0
CBSE,Central Board of Secondary Education in India,1
DB Corps,DB Corp an Indian media company,1
BOJS,Refers to specific job roles or not specific to India,0
MGNREGA,The Mahatma Gandhi National Rural Employment Guarantee Act in India,1
Acko,An Indian digital insurance company,1
Ind AAA,Indian credit rating indicating the highest quality,1
LIC Housing Finance,An Indian housing finance company,1
Nifty IT and Metal,Indexes related to Indian stock market sectors,1
NSEL,National Spot Exchange Limited an Indian commodity exchange,1
Ashok Leyland,An Indian commercial vehicle manufacturer,1
The Indian Railways,The national railway system of India,1
Singapore's Fast,Refers to fast developments in Singapore with no direct Indian connection,0
HUL,Hindustan Unilever Limited an Indian consumer goods company,1
ECGC,Export Credit Guarantee Corporation of India,1
The Communist International,An international communist organization not specific to India,0
Union Finance,Refers to Indian Union Ministry of Finance,1
NCD,Non-Convertible Debentures relevant in Indian finance,1
Atelier Greens,May refer to a company or project not specific to India,0
Aye Finance,An Indian fintech company,1
The US Federal Reserve,The central banking system of the United States with no direct Indian connection,0
CSCS,Central Securities Clearing System in India,1
TCNS,TCNS Clothing Co. a fashion brand in India,1
Honda,A Japanese automotive company with operations in India,0
Morgan Stanley,A global investment bank with operations in India,0
CBUS,Australian superannuation fund with no direct Indian connection,0
Reliance’s,Refers to Reliance Industries an Indian conglomerate,1
Twitter,A global social media platform with Indian users,0
HLFL,Hero Life Finance Limited an Indian financial services firm,1
BMO Harris Bank,A Canadian bank with operations in India,0
Wednesdays,A term not specific to India,0
ABB India,An Indian subsidiary of ABB Group,1
MLF,Marginal Lending Facility an Indian monetary policy tool,1
DRDO,Defense Research and Development Organisation in India,1
NRAI,National Restaurant Association of India,1
MSME Bank of Ideas,Refers to the MSME sector in India,1
SPXS,SPDR S&P 500 Short Term Futures ETF with relevance to Indian investors,0
Fidelity Group,A global investment firm with Indian operations,0
CECL,Current Expected Credit Loss accounting standard relevant in India,1
Zydus Cadila,An Indian pharmaceutical company,1
Bajaj Finance,An Indian financial services company,1
Nisaba Godrej,A member of the Godrej family involved in Indian businesses,1
TNTBC,Refers to specific company or term not Indian,0
Tech Mahindra & Mphasis,Indian IT companies,1
MNREGS,Refers to the Mahatma Gandhi National Rural Employment Guarantee Scheme in India,1
LVB,Lakshmi Vilas Bank an Indian bank,1
ACA Performance Services,An Indian performance management company,1
ED,Enforcement Directorate in India,1
Abu Dhabi Investment Authority,A sovereign wealth fund with no direct Indian connection,0
Martin Burn Ltd,An Indian real estate development company,1
UTI Mutual Fund,An Indian mutual fund company,1
FAANG,Refers to major tech companies with Indian investors,0
Maruti Suzuki,An Indian automobile manufacturer,1
Offshore Rupee Markets,Refers to Indian rupee markets outside India,1
ADL,A company or term not specific to India,0
The G-7,A group of major advanced economies with no direct Indian connection,0
The Electoral College,Refers to the US electoral system with no direct Indian connection,0
HDB Financial,An Indian financial services company,1
NDPS,Narcotic Drugs and Psychotropic Substances Act in India,1
Baidu,A Chinese technology company with no direct Indian connection,0
Goldman SK,Goldman Sachs an American investment bank with operations in India,0
India Traders,Refers to trading companies or entities in India,1
India Ratings,An Indian credit rating agency,1
Mypedia,A digital learning platform in India,1
The Air Quality Index,Used in India to measure air pollution,1
CFTC,Commodity Futures Trading Commission with relevance to Indian markets,0
Franklin Templeton Mutual Fund,An international mutual fund company with presence in India,0
Patwari,An Indian land revenue official,1
Bank,General term for financial institutions including those in India,1
LIBOR,London Interbank Offered Rate with relevance to Indian financial markets,0
Jio and Retail,Refers to Reliance Jio and retail ventures in India,1
Buffett,Warren Buffett an American investor with relevance to Indian markets,0
Coca Cola,A global beverage company with operations in India,0
NITI,NITI Aayog an Indian government policy think tank,1
RBLIT,Refers to RBL Bank Investment Trust in India,1
